100225,sequence contains no valid kmers,
NZ_CP031447.1_0_0/1,370777,-1281.47
NZ_CP031447.1_1_0/1,1748,-1274.63
NZ_CP031447.1_2_0/1,1748,-1271.15
NZ_CP031447.1_3_0/1,2582913,-1347.91
NZ_CP031447.1_4_0/1,84110,-1330.59
NZ_CP031447.1_5_0/1,1678128,-1324.36
NZ_CP031447.1_6_0/1,33943,-1304.33
NZ_CP031447.1_7_0/1,1748,-1288.35
NZ_CP031447.1_8_0/1,1748,-1239.85
NZ_CP031447.1_0_1/1,33943,-1349.57
NZ_CP031447.1_1_1/1,33943,-1349.31
NZ_CP031447.1_2_1/1,1748,-1286.11
NZ_CP031447.1_3_1/1,1748,-1243.95
NZ_CP031447.1_4_1/1,1748,-1302.93
NZ_CP031447.1_5_1/1,84110,-1353.49
NZ_CP031447.1_6_1/1,1748,-1266
NZ_CP031447.1_7_1/1,1748,-1351.65
NZ_CP031447.1_8_1/1,1748,-1319.55
NZ_CP031447.1_9_1/1,1930276,-1367.77
NZ_CP031448.1_0_0/1,1930276,-1359.14
NZ_CP031448.1_1_0/1,2843682,-1384.05
NZ_CP031448.1_2_0/1,458033,-1316.72
NZ_CP031448.1_3_0/1,78259,-1360.38
NZ_CP031448.1_4_0/1,2596890,-1358.79
NZ_CP031448.1_5_0/1,2268449,-1309.09
NZ_CP031448.1_6_0/1,264729,-1381.89
NZ_CP031448.1_7_0/1,80884,-1365.87
NZ_CP031448.1_8_0/1,256618,-1349.5
NZ_CP031448.1_9_0/1,42838,-1363.2
NZ_CP031448.1_10_0/1,370777,-1331.92
NZ_CP031448.1_11_0/1,2596890,-1373.49
NZ_CP031448.1_12_0/1,423605,-1322.74
NZ_CP031448.1_13_0/1,1863,-1312.2
NZ_CP031448.1_14_0/1,2734269,-1384.56
NZ_CP031448.1_15_0/1,2268449,-1323.04
NZ_CP031448.1_16_0/1,2268449,-1219.64
NZ_CP031448.1_17_0/1,2734269,-1384.56
NZ_CP031448.1_18_0/1,1675686,-1349.55
NZ_CP031448.1_19_0/1,78259,-1360.89
NZ_CP031448.1_20_0/1,80884,-1377.72
NZ_CP031448.1_21_0/1,78259,-1364.13
NZ_CP031448.1_22_0/1,423605,-1324.47
NZ_CP031448.1_0_1/1,1930276,-1356.26
NZ_CP031448.1_1_1/1,1675686,-1350.55
NZ_CP031448.1_2_1/1,2845970,-1373.08
NZ_CP031448.1_3_1/1,1863,-1357.62
NZ_CP031448.1_4_1/1,1930276,-1348.82
NZ_CP031448.1_5_1/1,264729,-1377.88
NZ_CP031448.1_6_1/1,1930276,-1373.16
NZ_CP031448.1_7_1/1,264729,-1384.51
100225,sequence contains no valid kmers,
NZ_CP031447.1_0_0/2,1748,-1306.61
NZ_CP031447.1_1_0/2,1748,-1271.57
NZ_CP031447.1_2_0/2,1748,-1258.97
NZ_CP031447.1_3_0/2,1863,-1323.53
NZ_CP031447.1_4_0/2,84110,-1340.56
NZ_CP031447.1_5_0/2,1675686,-1301.82
NZ_CP031447.1_6_0/2,1863,-1336.06
NZ_CP031447.1_7_0/2,2006,-1217.47
NZ_CP031447.1_8_0/2,458033,-1326.83
NZ_CP031447.1_0_1/2,80884,-1335.35
NZ_CP031447.1_1_1/2,1930276,-1345.14
NZ_CP031447.1_2_1/2,1748,-1311.78
NZ_CP031447.1_3_1/2,1748,-1238.62
NZ_CP031447.1_4_1/2,1748,-1318.13
NZ_CP031447.1_5_1/2,458033,-1352.82
NZ_CP031447.1_6_1/2,1675686,-1284.67
NZ_CP031447.1_7_1/2,80884,-1363.83
NZ_CP031447.1_8_1/2,370777,-1295.26
NZ_CP031447.1_9_1/2,256618,-1326.14
NZ_CP031448.1_0_0/2,2268449,-1309.5
NZ_CP031448.1_1_0/2,2176,-1359.89
NZ_CP031448.1_2_0/2,1930276,-1366.62
NZ_CP031448.1_3_0/2,1863,-1356.64
NZ_CP031448.1_4_0/2,1863,-1309.11
NZ_CP031448.1_5_0/2,33943,-1306.93
NZ_CP031448.1_6_0/2,1863,-1339.58
NZ_CP031448.1_7_0/2,477680,-1369.94
NZ_CP031448.1_8_0/2,80884,-1383.49
NZ_CP031448.1_9_0/2,1748,-1282.45
NZ_CP031448.1_10_0/2,33943,-1309.8
NZ_CP031448.1_11_0/2,1863,-1333.59
NZ_CP031448.1_12_0/2,82983,-1350.23
NZ_CP031448.1_13_0/2,2268449,-1256.8
NZ_CP031448.1_14_0/2,80884,-1384.09
NZ_CP031448.1_15_0/2,1930276,-1366.95
NZ_CP031448.1_16_0/2,35806,-1305.75
NZ_CP031448.1_17_0/2,46125,-1385.11
NZ_CP031448.1_18_0/2,1748,-1280.18
NZ_CP031448.1_19_0/2,2734280,-1364.77
NZ_CP031448.1_20_0/2,423605,-1345.78
NZ_CP031448.1_21_0/2,423605,-1340.35
NZ_CP031448.1_22_0/2,146786,-1345.46
NZ_CP031448.1_0_1/2,1863,-1366.51
NZ_CP031448.1_1_1/2,146786,-1355.89
NZ_CP031448.1_2_1/2,42838,-1347.88
NZ_CP031448.1_3_1/2,1863,-1362.65
